transaction_id,customer_id,timestamp,amount,currency,origin_country,destination_country,channel,transaction_type,counterparty_type,is_cross_border,is_cash,device_id,is_flagged,alert_type
TX2BA7F64E-055,f83b1806-ee4c-4b18-96a2-d49d9e5f8273,2025-02-06T18:43:39,69.91,EUR,Poland,Norway,Mobile,Transfer,Individual,True,False,f83b1806-dev-5,False,
TXD6FF614B-9D8,7318b96d-4479-4612-9f5d-988f776abf09,2025-02-06T18:54:03,5.95,EUR,Greece,Greece,Online,Transfer,Individual,False,False,7318b96d-dev-1,False,
TXEC9D3B19-3D4,1d03c3d5-b862-4cc3-9489-9c37cfa9026b,2025-02-06T18:58:46,10.04,GBP,United Kingdom,Norway,API,Deposit,Individual,True,False,1d03c3d5-dev-2,False,
TX02C8C89E-3F2,74e0079a-98fb-4727-9740-b2122d5245f4,2025-02-06T19:13:32,7.12,USD,Bolivia,Bermuda,Mobile,Transfer,Individual,True,False,74e0079a-dev-2,False,
TX3C9B09D8-BF8,ae5ec365-72eb-4474-9458-054ec2874f06,2025-02-06T19:18:13,14.18,USD,Mozambique,Mozambique,Online,Bill Payment,Business,False,False,ae5ec365-dev-2,False,
TXA4925B81-0A2,61a451ff-700b-4b43-ad3b-9d13c3e90323,2025-02-06T19:18:18,11.26,USD,Netherlands,Netherlands,Mobile,Payment,Individual,False,False,61a451ff-dev-1,False,
TX930736C2-206,309a083a-0c9e-4060-b66c-7331a1722ee3,2025-02-06T19:31:44,3.09,USD,Greece,Greece,Online,Payment,Individual,False,False,309a083a-dev-2,False,
TXC434AC05-038,fad3b44c-3b2d-4dc9-a2f3-2faea63fcf12,2025-02-06T19:32:08,7.7,USD,Belgium,Belgium,POS,Transfer,Business,False,False,fad3b44c-dev-1,False,
TX1EB418A1-206,7466ef02-5e7b-42c8-a097-dedbefb3b939,2025-02-06T19:34:08,6.11,USD,Czech Republic,Czech Republic,Branch,Payment,Individual,False,False,7466ef02-dev-1,False,
TXF598D0EB-250,5b9962c6-e61f-4cc0-8a36-8ce7dc570131,2025-02-06T19:56:00,19.92,EUR,Ghana,Ghana,Online,Withdrawal,Business,False,False,5b9962c6-dev-1,False,
TX96E514B3-539,5274ee11-b61d-4906-a570-35db3fead90a,2025-02-06T20:31:47,50.28,EUR,Uganda,Kuwait,Online,Payment,Individual,True,False,5274ee11-dev-4,True,High-Risk Corridor
TXB2A2C627-65D,02bdeabe-7060-48eb-be8e-ed12a3ea21a2,2025-02-06T20:43:56,6.07,GBP,Papua New Guinea,Kuwait,API,Deposit,Business,True,False,02bdeabe-dev-4,True,High-Risk Corridor
TX8773A23A-5B4,200291bb-44e9-48fb-8838-a8881a2e9864,2025-02-06T20:46:09,3.3,USD,Portugal,Senegal,Mobile,Transfer,Business,True,False,200291bb-dev-3,False,
TX8FE544FE-A91,1eb74b56-53ff-43a2-8a19-35014169b9fc,2025-02-06T20:58:52,1.3,USD,Northern Mariana Islands,Bosnia and Herzegovina,Mobile,Payment,Individual,True,False,1eb74b56-dev-4,False,
TXD1BEF7AC-34A,8a0ea57a-9a7d-409d-a6e8-790b215d3b1f,2025-02-06T21:16:47,71.52,GBP,Guernsey,Hong Kong SAR,Online,Deposit,Individual,True,False,8a0ea57a-dev-1,False,
TXD09A6311-38E,4c6a70f4-8ede-444d-876c-f68c3f1be0d0,2025-02-06T21:25:54,13.93,USD,France,France,Online,Transfer,Individual,False,False,4c6a70f4-dev-1,False,
TXFF0846B3-2F7,403fd582-4ccf-4a4b-bc93-243ec90b9454,2025-02-06T21:29:36,29.69,EUR,Belgium,Timor-Leste,Online,Payment,Business,True,False,403fd582-dev-1,False,
TX6314EDFA-0F3,53f30073-83e9-4ef4-ad7d-f5d0d3b59af7,2025-02-06T21:52:20,36.29,USD,Turkey,Curaçao,Online,Payment,Individual,True,False,53f30073-dev-1,False,
TX4EC3E6C7-749,138d994c-2b0a-4edd-8774-44cb5543fc3c,2025-02-06T22:13:20,22.76,EUR,Iceland,Iceland,Online,Transfer,Individual,False,False,138d994c-dev-1,False,
TXC26BC7DF-C26,21bbd183-8acf-44d6-b2fc-c072544c0132,2025-02-06T22:16:35,8.09,GBP,South Korea,South Korea,Online,Deposit,Individual,False,False,21bbd183-dev-1,False,
TX82B60D5B-CDA,4187222b-257d-4e52-9a51-65ca3c7c1d85,2025-02-06T22:31:41,6.57,EUR,Laos,Laos,Online,Payment,Individual,False,False,4187222b-dev-1,False,
TX161D0480-2E3,88a613b4-a3b8-4f92-a3c9-0c6a86017633,2025-02-06T22:34:37,6.66,EUR,Mongolia,Qatar,POS,Deposit,Business,True,False,88a613b4-dev-3,False,
TX061D8978-9DD,439e754c-6930-46ea-a0bd-a1ee5807cf74,2025-02-06T22:37:14,33.14,EUR,Kazakhstan,Kazakhstan,API,Transfer,Individual,False,False,439e754c-dev-2,False,
TX9C4F8314-47B,1d61fac3-6cd5-4859-b2a4-47b2ef04e57d,2025-02-06T22:38:51,28.93,EUR,Vanuatu,Vanuatu,ATM,Payment,Individual,False,False,1d61fac3-dev-1,False,
TXCFF29D00-1CE,e79f9f3d-19ee-4c3b-b93c-4b0bb93b770c,2025-02-06T22:56:26,12.04,USD,Northern Mariana Islands,Northern Mariana Islands,Online,Transfer,Individual,False,False,e79f9f3d-dev-2,False,
TXB3315E96-C67,ddcf8766-a93b-42cd-9c24-220e2cabd7e7,2025-02-06T22:58:19,3.76,USD,Guyana,Kazakhstan,Online,Transfer,Individual,True,False,ddcf8766-dev-3,False,
TXDE1E89B0-1C1,6994bf84-50d3-4a03-8cd7-608f3adcb38c,2025-02-06T23:01:26,11.85,USD,Romania,Bosnia and Herzegovina,Online,Transfer,Business,True,False,6994bf84-dev-1,False,
TXB5555FE0-83B,8163b6ce-1877-4c06-94ad-625215bc2a3e,2025-02-06T23:03:21,50.14,USD,Tunisia,Sri Lanka,ATM,Deposit,Business,True,True,8163b6ce-dev-2,False,
TX6F58A387-5E3,7135f221-a6c9-437f-84da-d06a7872bdeb,2025-02-06T23:09:59,25.54,EUR,Liechtenstein,Canada,Online,Transfer,Business,True,False,7135f221-dev-1,False,
TXA636A75E-550,ab0b4cc5-15f0-4a19-98c1-80d2aadf3692,2025-02-06T23:15:33,12.32,EUR,Denmark,Vanuatu,Mobile,Transfer,Individual,True,False,ab0b4cc5-dev-1,False,
TXAEE543A1-DF9,2332a50e-6992-496e-81a2-5ed1c3abb5f1,2025-02-06T23:25:35,14.87,EUR,Belgium,Solomon Islands,Online,Payment,Individual,True,False,2332a50e-dev-1,True,High-Risk Corridor
TXC349509C-220,3c088990-54a2-4051-bb0c-cad9eee13cae,2025-02-06T23:28:29,38.52,USD,Cayman Islands,Kosovo,Online,Deposit,Business,True,False,3c088990-dev-1,False,
TX53378A7D-F17,de9e3757-5260-401e-aecf-67d2749176f4,2025-02-06T23:30:04,40.29,USD,Algeria,Algeria,Online,Transfer,Individual,False,False,de9e3757-dev-1,False,
TX9AD38B77-282,84396fc0-c26e-4706-bc05-9799bdae8eff,2025-02-06T23:30:11,36.81,GBP,Oman,Oman,Online,Payment,Exchange,False,False,84396fc0-dev-2,False,
TX110522F2-AAB,afd5dea5-89d7-4d6c-8e77-7f00ecf27e76,2025-02-06T23:45:48,73.2,EUR,Taiwan,Taiwan,Online,Payment,Business,False,False,afd5dea5-dev-3,False,
TX83CC5FA8-DC6,506e5a9a-b758-488d-ab73-295b344a54b8,2025-02-06T23:47:03,20.66,EUR,Timor-Leste,Timor-Leste,Mobile,Transfer,Business,False,False,506e5a9a-dev-1,False,
