tx_id,customer_id,date,amount,currency,counterparty_country,tx_type
3b33f3d8-269c-4696-a36c-7b8714a0bccb,CUST1000,2025-03-17,4485.65,EUR,DE,Withdrawal
6a34c854-1071-4d51-b6c5-9dacb4d7e28e,CUST1000,2025-03-26,1490.8,EUR,SR,Payment
34f3193c-0ff0-455c-aa70-2e2f7746d0ba,CUST1000,2025-08-28,810.36,EUR,MW,Transfer
f2311f17-9586-4a76-8511-55ffe7a37e81,CUST1000,2025-07-09,651.78,EUR,TR,Withdrawal
f1578470-0182-47c4-ba1b-58066160a6b4,CUST1000,2025-03-05,1025.24,EUR,GB,Transfer
f41402b1-e442-4ebb-9a7b-909563d62a39,CUST1000,2025-08-29,879.75,EUR,SO,Transfer
ccc42903-8bcf-43a1-bc10-fa52bf5d2fdf,CUST1000,2025-06-05,4116.21,EUR,GN,Transfer
6f92f25e-45df-46b6-b82c-043f7cfc9b79,CUST1000,2025-04-23,1603.22,EUR,MW,Withdrawal
cc530e36-addc-4e13-ab3b-4d37560c95ee,CUST1000,2025-03-24,1041.89,EUR,DM,Withdrawal
20ac3703-eb67-446a-b7a6-e17cd72b6108,CUST1000,2025-10-21,103.44,EUR,SN,Payment
978648f8-64de-42e6-a82c-7d7b06e745f9,CUST1000,2025-05-22,2710.36,EUR,AR,Deposit
22bd3388-6db9-4102-a48b-3dbe157d94a1,CUST1000,2025-09-10,3436.61,EUR,EG,Transfer
53cd6268-610c-4373-8299-9aa40cdf742b,CUST1000,2025-01-13,904.04,EUR,LR,Withdrawal
610e6a64-e130-4617-82df-f33556666f9f,CUST1000,2025-02-06,1754.16,EUR,NL,Deposit
78660765-14f7-4e8d-95bc-b8d04094dded,CUST1000,2024-11-04,1891.83,EUR,SR,Payment
59970043-f3b1-425b-bff9-f5850d557b61,CUST1000,2025-01-18,2779.24,EUR,BJ,Deposit
0a4e5b70-a6d9-44a3-b510-ab53c7fee39f,CUST1000,2025-07-31,1757.29,EUR,HU,Withdrawal
9f0fda8d-0537-4ff6-96d7-b3b833094d35,CUST1000,2024-12-22,1039.93,EUR,CN,Transfer
90604f62-1d48-4071-ab61-a7b1793b4c32,CUST1000,2025-10-09,1639.25,EUR,PT,Transfer
5e6fea07-c453-4f1d-8199-2fdfb31022f0,CUST1000,2024-12-28,858.91,EUR,UZ,Withdrawal
1d5206ab-b7e6-427c-bf78-0e3ff6b751f7,CUST1000,2025-08-08,1183.0,EUR,DK,Withdrawal
9424aed5-1bac-4c15-8fa0-3f26f6f7f0cc,CUST1000,2024-11-06,898.59,EUR,KR,Deposit
f54ad0a2-e874-46d7-ad66-a1bd93676a02,CUST1000,2025-03-14,3877.69,EUR,VC,Transfer
b0cc1b3b-9793-49b4-9374-814632c5bd89,CUST1000,2025-08-27,3389.43,EUR,HN,Deposit
4d3485c5-c5c1-4eb4-b27b-3d901a16342c,CUST1000,2025-09-04,4984.24,EUR,US,Transfer
fbdd3933-cbd5-4bf6-9efd-76e9ce3714af,CUST1000,2025-05-23,2764.95,EUR,BB,Payment
a9597663-6daa-4e68-8861-fe1858e25888,CUST1000,2025-03-12,2360.04,EUR,SD,Transfer
d97dc9cd-033d-4bce-975a-ed2ca5c5650c,CUST1000,2025-03-30,32.64,EUR,RW,Deposit
5cb85aed-f5f6-4c97-aefb-63b11b049863,CUST1001,2025-06-17,3137.63,EUR,PK,Payment
2d174fc9-6f7c-45ea-a72a-6d8eb5122df8,CUST1001,2025-07-23,909.87,EUR,CF,Payment
eb6c1016-cee6-44d0-9dac-6e8345241ea6,CUST1001,2025-05-12,805.38,EUR,RO,Withdrawal
